Alternative,Average score,Number of reviews,Minimum price,Time,Difficulty
Kolekcjoner,6,764,200,60,2
Skarb Czarnobrodego,6.6,607,200,60,2
Tajemniczy Las,7.9,344,190,60,2
Wikingowie: Amulety Mocy,9.4,337,300,75,2
Sekret dziadka,9,309,260,75,3
Murder House,8.4,293,150,60,1
Koneser,8.5,282,220,75,2
Krasnoludy,9.6,276,280,75,2
Dom pogrzebowy,9.3,250,260,60,2
Jaskinia Hazardu,9.1,248,270,75,3
Osobowość,9.6,247,240,75,3
Golden Hajs,9.2,229,240,75,3
Galaktyka Tajemnic,9.3,223,270,75,2
Cosa nostra,6.2,207,200,60,2
Zaginiony oficer,8.3,200,100,90,2
Faraon,7.7,197,190,75,3
Nieznajomi,9.4,177,220,90,2
Szum,9,168,190,75,2
Tajemnicze Domostwo,9.5,167,230,75,3
Urok,8.7,161,200,75,2
Walkiria,6.9,152,180,60,2
Zemsta Umarlaka,9.7,151,280,80,2
Odkrywcy,9.3,136,230,75,2
In da Club,9,124,240,75,2
Sanitariusz,9.4,122,230,75,2
Skarby Majów,7,117,180,60,1
Zielona Mila,9.8,97,430,110,2
Śladami Harry'ego,8.9,96,240,75,2
Jaś i Małgosia,7.9,89,190,60,1
Excalibur,5.8,80,180,60,1
Zew Przedwiecznych,8.1,74,120,90,2
Da Vinci,7.2,74,180,60,2
Program Goździk,7.8,70,100,90,1
Wiedźmowa Księga,7.3,66,170,75,2
Kancelaria,8,59,200,75,2
Szeol - Schron Ostateczny,8.6,52,110,90,3
Western Dziki Saloon,8.1,40,170,75,2
Olimp,6.9,37,180,60,2
Lądowanie na Księżycu,7.3,31,180,60,2
Alchemik,7.7,31,180,60,2
Wyspa Tajemnic,6.8,19,170,60,1
Dom Zły,9.6,16,340,90,2
Chata Ogra,7.1,15,180,60,1
Turniej Trójmagiczny,9.8,14,390,75,2
Alicja w Krainie Czarów,7.5,9,180,60,1
Piracki Skarb,8.2,8,140,60,1
Skrzynia Czarodzieja,6.9,7,260,180,2
Oszukać wiedźmę,7,4,140,60,1